Ano,2010,2015,2020,2024
Kcal,ND,118,0,107
Proteínas,1.287,1.1,0,2
Grasas,2.058,1.8,0,0.9
Colesterol,ND,0,0,0
Carbohidratos,24.27,24.1,0,22.8
Azúcares,9.183,10.0,1.0,0.5
Fibra,ND,1.6,0,1.9
Sodio,96,91,0,80
