Ano,2010,2015,2020,2024
Kcal,ND,127,0,119
Proteínas,2.376,2.4,0,2.0
Grasas,2.1,3.0,0,2.2
Colesterol,ND,1,0,1.1
Carbohidratos,21.0,22.5,0,22.7
Azúcares,6.114,8.7,8.7,9.9
Fibra,ND,0.9,0,1.3
Sodio,42.6,53.1,0,50.0
